Macrotrends Data Download

Dollar Yen Exchange Rate (USD JPY) - Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1971-01-04,357.7300
1971-01-05,357.8100
1971-01-06,357.8600
1971-01-07,357.8700
1971-01-08,357.8200
1971-01-11,357.9500
1971-01-12,358.0600
1971-01-13,358.4400
1971-01-14,358.4000
1971-01-15,358.4000
1971-01-18,358.2900
1971-01-19,358.3500
1971-01-20,358.4000
1971-01-21,358.2700
1971-01-22,357.9000
1971-01-25,357.7300
1971-01-26,357.7800
1971-01-27,357.7900
1971-01-28,357.8300
1971-01-29,357.7200
1971-02-01,357.6700
1971-02-02,357.5500
1971-02-03,357.5400
1971-02-04,357.5100
1971-02-05,357.5300
1971-02-08,357.4900
1971-02-09,357.5000
1971-02-10,357.5000
1971-02-11,357.5000
1971-02-16,357.5300
1971-02-17,357.5300
1971-02-18,357.5300
1971-02-19,357.5600
1971-02-22,357.6000
1971-02-23,357.5500
1971-02-24,357.6000
1971-02-25,357.5600
1971-02-26,357.5600
1971-03-01,357.6300
1971-03-02,357.5600
1971-03-03,357.4900
1971-03-04,357.4500
1971-03-05,357.5900
1971-03-08,357.5500
1971-03-09,357.4600
1971-03-10,357.5900
1971-03-11,357.5600
1971-03-12,357.5800
1971-03-15,357.5400
1971-03-16,357.4900
1971-03-17,357.5300
1971-03-18,357.5600
1971-03-19,357.5600
1971-03-22,357.4400
1971-03-23,357.5300
1971-03-24,357.5300
1971-03-25,357.4700
1971-03-26,357.4700
1971-03-29,357.4400
1971-03-30,357.4900
1971-03-31,357.4200
1971-04-01,357.4900
1971-04-02,357.5300
1971-04-05,357.5000
1971-04-06,357.4600
1971-04-07,357.5500
1971-04-08,357.5500
1971-04-09,357.5000
1971-04-12,357.5000
1971-04-13,357.6200
1971-04-14,357.5800
1971-04-15,357.5000
1971-04-16,357.5400
1971-04-19,357.4900
1971-04-20,357.4900
1971-04-21,357.4900
1971-04-22,357.4900
1971-04-23,357.4900
1971-04-26,357.5000
1971-04-27,357.4900
1971-04-28,357.5000
1971-04-29,357.4100
1971-04-30,357.4000
1971-05-03,357.4100
1971-05-04,357.4000
1971-05-05,357.4000
1971-05-06,357.4100
1971-05-07,357.4100
1971-05-10,357.1400
1971-05-11,357.4400
1971-05-12,357.5300
1971-05-13,357.4900
1971-05-14,357.4900
1971-05-17,357.4000
1971-05-18,357.4400
1971-05-19,357.4000
1971-05-20,357.4600
1971-05-21,357.4000
1971-05-24,357.4000
1971-05-25,357.4000
1971-05-26,357.4400
1971-05-27,357.4000
1971-05-28,357.4000
1971-06-01,357.4600
1971-06-02,357.4000
1971-06-03,357.4600
